Name,Short,Gender,Debut,Company,Members,Orig Member number,Fanclub Name,Active
GP Basic,,Female,18/03/2011,Jacyhan,4,6,Spade,No
GreatGuys,,Male,25/08/2017,DNA,9,9,Grace,Yes
G-reyish,Greyish,Female,1/06/2017,Elijah,4,4,,No
GsA,Girls' Alert,Female,25/05/2017,Roots,5,5,,Yes
Gugudan,,Female,28/06/2016,Jellyfish,8,9,,No
GWSN,,Female,5/09/2018,Kiwi Pop,7,7,Groo,Yes
H.B.Y,Hot Blood Youth,Male,16/08/2017,Rainbow,5,5,,Yes
H.O.T,,Male,7/09/1996,SM,5,5,Club H.O.T,No
H.U.B,HUB,Female,9/02/2017,New Planet,5,4,,No
H1-KEY,,Female,5/01/2022,GLG,4,4,,Yes
HALO,,Male,26/07/2014,Histar,6,6,,Yes
Hash Tag,Hashtag,Female,11/10/2017,LUK,7,7,,Yes
HAWW,,Male,23/02/2023,Biscuit,7,7,,Yes
Hello Venus,HV,Female,9/05/2012,Fantagio,6,6,Hello Cupid,No
Heygirls,,Female,20/11/2017,Moai,4,4,,Yes
Hi Cutie,,Female,12/10/2017,Space,4,5,,Yes
HIGH4,,Male,8/04/2014,NAP,4,4,,No
Highlight,Beast,Male,14/10/2009,Around Us,4,6,B2uty,Yes
HighSchool,,Female,30/04/2019,Richworld,4,4,High Class,No
Highteen,,Female,14/10/2016,Elijah,4,4,,No
Hi-L,,Female,11/08/2021,Kpop Live,6,6,,Yes
Hinapia,,Female,3/11/2019,Alseulbit,5,5,,No
Hint,,Female,31/03/2017,Starpro,5,7,,Yes
HISTORY,,Male,26/04/2013,LOEN,5,5,Storia,No
Homme,,Male,28/06/2010,Big Hit,2,2,,No
Honey Popcorn,,Female,21/03/2018,Kyun Create,3,3,,No
Honeyst,,Male,17/05/2017,FNC,4,4,,Yes
Hotshot,,Male,29/10/2014,Star Crew,5,6,,No
I.C.E,,Female,16/11/2015,HS,3,4,,Yes
ICHILLIN',,Female,8/09/2021,KM,7,7,,Yes
ICU,,Female,22/10/2019,Liz,5,5,,Yes
iKON,,Male,15/09/2015,YG,6,7,iKONIC,Yes
ILUV,I LUV,Female,30/04/2019,WKS ENE,7,7,,No
ILY:1,,Female,4/04/2022,FC ENM,6,6,,Yes
Imfact,,Male,27/01/2016,Star Empire,5,5,,Yes
Infinite,,Male,9/06/2010,Woollim,6,7,Inspirit,Yes
INX,,Male,2/08/2016,NA,5,5,,No
IOI,I.O.I,Female,4/05/2016,YMC,11,11,,No
IRRIS,,Female,6/07/2022,Mellow,4,4,,Yes
ITZY,,Female,12/02/2019,JYP,5,5,Mitzy,Yes
IVE,,Female,1/12/2021,Starship,6,6,DIVE,Yes
IZ,,Male,31/08/2017,Music K,4,4,,Yes
IZ*ONE,IZONE,Female,29/10/2018,Off The Record,12,12,,No
JBJ,,Male,18/10/2017,Fave,6,6,,No
JBJ95,,Male,30/10/2018,Hunus,2,2,,Yes
Jewelry,,Female,30/03/2001,Star Empire,4,4,,No
JJCC,,Male,13/03/2014,Jackie Chan Group,5,6,,No
JUST B,,Male,30/06/2021,Bluedot,6,6,ONLY B,Yes
Jwiiver,,Male,17/02/2022,JTG,7,7,,Yes
JYJ,,Male,8/09/2010,C-JeS,3,3,Cassiopeia,Yes
KARA,,Female,29/03/2007,DSP,5,5,Kamilia,Yes
KEEMBO,,Female,10/04/2020,ARA-LINE,2,2,,Yes
Kep1er,,Female,1/03/2022,WakeOne,9,9,,Yes
KHAN,,Female,23/05/2018,Maroo,2,2,,No
Kingdom,,Male,18/02/2021,GF,7,8,Kingmakers,Yes
Kitten Girls,,Female,4/09/2018,Wannabe,4,4,,No
K-Much,,Male,7/01/2014,Chrome,4,5,,No
KNK,,Male,3/03/2016,YNB,5,5,Tinker Bell,Yes
Laboum,,Female,27/08/2014,NH,4,6,Latte,Yes
Ladies' Code,LC,Female,7/03/2013,Polaris,3,5,Lavely,Hiatus
Lapillus,,Female,22/06/2022,MLD,6,6,LAPIS,Yes
LE SSERAFIM,,Female,2/05/2022,Source,5,6,FEARNOT,Yes
LIGHTSUM,,Female,10/06/2021,Cube,6,8,SUMIT,Yes
LIMELIGHT,,Female,17/02/2023,143,3,3,,Yes
Limitless,,Male,9/07/2019,ONO,4,4,,Yes
LipBubble,,Female,22/03/2017,Zenith,7,7,,No
Loona,LOO����,Female,20/08/2018,Blockberry,12,12,,Yes
Lovelyz,,Female,17/11/2014,Woollim,8,8,Lovelinus,No
LU:KUS,,Male,4/07/2014,JWK,4,5,,Yes
Lucente,,Male,18/09/2018,NOGA,7,7,,Yes
LUMINOUS,LMN,Male,9/09/2021,Barunson,4,4,,Yes
LUNARSOLAR,,Female,2/09/2020,J Planet,4,4,Haedal,No
Lusty,,Female,26/06/2019,babaplay,5,5,,Yes
M.I.B,,Male,26/10/2011,Jungle,4,4,,No
M.O.N.T,MONT,Male,4/01/2019,FM,3,3,,Yes
Madtown,,Male,6/10/2014,GNI,7,7,,No
MAJORS,,Female,9/03/2021,ANS,6,6,MVP,Yes
Maka Maka,,Female,4/08/2020,Dreamus,5,5,,Yes
Mamamoo,,Female,18/06/2014,RBW,4,4,Moomoo,Yes
MAP6,,Male,10/11/2015,DreamT,5,5,,Yes
Marmello,,Female,24/05/2017,Rolling,5,5,,No
